Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Type,year,avg_payment,avg_charge,total_srvcs,total_benes,charge_to_payment_ratio
OH,Internal Medicine,2022,64.31,203.12,3656639.5,1893272,3.16
OH,Internal Medicine,2023,65.6,216.5,3335079.0,1802096,3.3
OK,Cardiology,2022,62.72,246.44,455302.0,314592,3.93
OK,Cardiology,2023,61.05,245.32,449617.0,319415,4.02
OK,Family Practice,2022,50.41,158.3,2056184.2,888957,3.14
OK,Family Practice,2023,53.01,163.89,1850667.0,813558,3.09
OK,Internal Medicine,2022,64.34,225.14,1040856.0,470893,3.5
OK,Internal Medicine,2023,65.87,234.67,928926.9,441239,3.56
OR,Cardiology,2022,68.11,297.92,310219.0,245202,4.37
OR,Cardiology,2023,66.1,299.7,300392.0,247007,4.53
OR,Family Practice,2022,47.93,168.76,730165.5,413584,3.52
OR,Family Practice,2023,53.47,189.97,684306.0,379367,3.55
OR,Internal Medicine,2022,59.91,228.04,1327034.0,483489,3.81
OR,Internal Medicine,2023,63.42,243.85,1474865.0,444263,3.84
PA,Cardiology,2022,83.72,321.15,2346258.0,1727582,3.84
PA,Cardiology,2023,81.31,322.2,2390355.0,1747189,3.96
PA,Family Practice,2022,64.62,160.13,3965640.6,2282357,2.48
PA,Family Practice,2023,67.98,172.19,3703600.2,2183768,2.53
PA,Internal Medicine,2022,75.6,224.09,3943250.0,2163108,2.96
PA,Internal Medicine,2023,77.15,234.48,4075862.0,2116178,3.04
PR,Cardiology,2022,72.85,130.48,58397.0,37710,1.79
PR,Cardiology,2023,71.77,126.79,53370.8,33498,1.77
PR,Family Practice,2022,59.54,140.93,17273.0,8146,2.37
PR,Family Practice,2023,57.85,150.94,14544.0,6997,2.61
PR,Internal Medicine,2022,67.77,146.64,83962.0,40075,2.16
PR,Internal Medicine,2023,68.51,151.41,70288.0,35453,2.21
RI,Cardiology,2022,78.23,303.34,176764.0,136372,3.88
RI,Cardiology,2023,78.21,311.93,167409.0,129618,3.99
RI,Family Practice,2022,57.05,174.52,83776.0,59188,3.06
RI,Family Practice,2023,53.49,177.28,87966.0,64388,3.31
RI,Internal Medicine,2022,65.91,201.35,310998.0,212877,3.05
RI,Internal Medicine,2023,64.88,203.96,313214.0,196386,3.14
SC,Cardiology,2022,78.13,364.25,1033386.1,675253,4.66
SC,Cardiology,2023,73.64,395.29,1020124.0,677699,5.37
SC,Family Practice,2022,50.93,151.14,3329944.7,1620451,2.97
SC,Family Practice,2023,53.42,159.85,3246145.1,1574640,2.99
SC,Internal Medicine,2022,62.42,207.6,2163475.5,1190769,3.33
SC,Internal Medicine,2023,63.05,212.07,2186874.0,1144035,3.36
SD,Cardiology,2022,53.58,225.17,72648.0,57109,4.2
SD,Cardiology,2023,54.74,216.25,88737.0,70568,3.95
SD,Family Practice,2022,47.26,130.0,379900.0,206883,2.75
SD,Family Practice,2023,50.31,143.22,391686.0,197953,2.85
SD,Internal Medicine,2022,58.47,162.69,250584.5,107090,2.78
SD,Internal Medicine,2023,58.13,159.89,317585.0,100038,2.75
TN,Cardiology,2022,78.78,325.06,1325942.0,795956,4.13
TN,Cardiology,2023,72.74,306.15,1339775.0,792232,4.21
TN,Family Practice,2022,43.22,128.37,2960797.1,1498270,2.97
TN,Family Practice,2023,44.25,133.77,2679904.5,1428210,3.02
TN,Internal Medicine,2022,51.25,168.05,4050464.5,2045422,3.28
TN,Internal Medicine,2023,51.65,176.36,3734339.5,1973674,3.41
TX,Cardiology,2022,107.09,446.94,4073443.7,2516397,4.17
TX,Cardiology,2023,106.14,455.4,4051244.6,2476858,4.29
TX,Family Practice,2022,53.1,167.16,7687183.1,3849423,3.15
TX,Family Practice,2023,54.44,174.57,7466999.9,3628303,3.21
TX,Internal Medicine,2022,65.98,229.22,10103299.2,4405837,3.47
TX,Internal Medicine,2023,66.89,235.39,10304623.0,4169434,3.52
UT,Cardiology,2022,85.39,306.92,179236.0,128211,3.59
UT,Cardiology,2023,78.49,305.75,189010.0,124767,3.9
UT,Family Practice,2022,47.67,114.5,710708.5,459557,2.4
UT,Family Practice,2023,50.21,119.64,651888.5,426176,2.38
UT,Internal Medicine,2022,60.62,180.21,632712.0,313018,2.97
UT,Internal Medicine,2023,62.46,184.46,731155.0,295977,2.95
VA,Cardiology,2022,87.77,299.57,1365800.0,989226,3.41
VA,Cardiology,2023,91.21,324.54,1439044.0,999689,3.56
VA,Family Practice,2022,53.7,132.75,3125308.0,1989099,2.47
VA,Family Practice,2023,56.16,140.8,3147436.3,1928013,2.51
